genes	mean.mis	mean.syn	mis.cal	mean.comb	dec	genename
ENST00000000233	0.902107279693487	17.2264367816092	0.05236760748204	0.0464897122221294	1	ARF5
ENST00000000412	15.5137614678899	34.5607798165138	0.448883432325713	0.473570378454824	5	M6PR
ENST00000001008	27.3391070053888	61.9507313317937	0.441304023659816	0.453830427065852	5	FKBP4
ENST00000001146	6.7741935483871	70.38133640553	0.0962498567710465	0.0968892575793267	1	CYP26B1
ENST00000002125	38.6054657428791	55.8779830638953	0.690888676112998	0.711581241768458	7	NDUFAF7
ENST00000002165	49.4837209302326	60.9674418604651	0.811641745498932	0.842391718874145	8	FUCA2
ENST00000002596	20.4780487804878	36.380487804878	0.562885492089032	0.589624169436416	6	HS3ST1
ENST00000002829	19.7906976744186	113.663953488372	0.174115865822345	0.184395280734314	2	SEMA3F
ENST00000003084	102.755220417633	166.603248259861	0.616766008411553	0.608135127241509	6	CFTR
ENST00000003100	18.5104166666667	56.4733796296296	0.327772426372635	0.338157064631535	4	CYP51A1
ENST00000003302	48.0756880733945	143.073394495413	0.336021160628407	0.335616005455987	4	USP28
ENST00000004531	38.146558391338	104.710363495746	0.364305471949657	0.371289262814295	4	SLC7A2
ENST00000004982	6.98	28.3705882352941	0.246029442255857	0.279529418419651	3	HSPB6
ENST00000005178	18.6095890410959	51.5993150684931	0.360655737704918	0.401598012198682	5	PDK4
ENST00000005226	34.1183294663573	106.164733178654	0.321371593417401	0.330478595295628	4	USH1C
ENST00000005257	0.679310344827586	25.5114942528736	0.0266276188330705	0.0293410616244966	1	RALA
ENST00000005260	45.0619158878505	87.9614485981308	0.512291652832193	0.534702572499978	6	BAIAP2L1
ENST00000005284	1.96511627906977	39.0255813953488	0.0503545676658125	0.0420033331995587	1	CACNG3
ENST00000005286	67.2835294117647	148.923529411765	0.451799186317494	0.458408287366056	5	TMEM132A
ENST00000005340	12.184331797235	122.623271889401	0.0993639429897498	0.0966722451280344	1	DVL2
ENST00000005386	50.054272517321	62.70207852194	0.79828729281768	0.824945629047301	7	RPAP3
ENST00000006015	3.64507772020725	20.0492227979275	0.181806434939915	0.176409138913637	2	HOXA11
ENST00000006275	14.8741007194245	18.878896882494	0.787869164814227	0.816036740497459	7	TRAPPC6A
ENST00000006658	41.6022988505747	115.614942528736	0.359834965452105	0.35930426732929	4	SPATA20
ENST00000006777	31.8583138173302	51.6733021077283	0.616533345419112	0.605895638598536	6	RHBDD2
ENST00000007264	24.9658018867925	56.5141509433962	0.441761956431016	0.450729826166975	5	RPUSD1
ENST00000007390	35.1140552995392	45.8582949308756	0.765707825650044	0.763688617673382	7	TSR3
ENST00000007414	31.1583924349882	111.198581560284	0.280204945043264	0.287569828143487	3	OSBPL7
